Temp,Temp-1,Temp-2,Year,Month,Day,Weekday
47,41,41,2019,1,1,Tue
41,41,41,2019,1,2,Wed
41,41,47,2019,1,3,Thu
38,41,41,2019,1,4,Fri
40,38,41,2019,1,5,Sat
46,40,38,2019,1,6,Sun
49,46,40,2019,1,7,Mon
45,49,46,2019,1,8,Tue
40,45,49,2019,1,9,Wed
38,40,45,2019,1,10,Thu
45,38,40,2019,1,11,Fri
48,45,38,2019,1,12,Sat
51,48,45,2019,1,13,Sun
47,51,48,2019,1,14,Mon
44,47,51,2019,1,15,Tue
46,44,47,2019,1,16,Wed
38,46,44,2019,1,17,Thu
36,38,46,2019,1,18,Fri
39,36,38,2019,1,19,Sat
36,39,36,2019,1,20,Sun
35,36,39,2019,1,21,Mon
38,35,36,2019,1,22,Tue
35,38,35,2019,1,23,Wed
34,35,38,2019,1,24,Thu
45,34,35,2019,1,25,Fri
47,45,34,2019,1,26,Sat
42,47,45,2019,1,27,Sun
37,42,47,2019,1,28,Mon
35,37,42,2019,1,29,Tue
35,35,37,2019,1,30,Wed
31,35,35,2019,1,31,Thu
35,31,35,2019,2,1,Fri
37,35,31,2019,2,2,Sat
35,37,35,2019,2,3,Sun
45,35,37,2019,2,4,Mon
44,45,35,2019,2,5,Tue
48,44,45,2019,2,6,Wed
46,48,44,2019,2,7,Thu
49,46,48,2019,2,8,Fri
47,49,46,2019,2,9,Sat
42,47,49,2019,2,10,Sun
43,42,47,2019,2,11,Mon
44,43,42,2019,2,12,Tue
46,44,43,2019,2,13,Wed
43,46,44,2019,2,14,Thu
44,43,46,2019,2,15,Fri
47,44,43,2019,2,16,Sat
49,47,44,2019,2,17,Sun
47,49,47,2019,2,18,Mon
45,47,49,2019,2,19,Tue
48,45,47,2019,2,20,Wed
50,48,45,2019,2,21,Thu
48,50,48,2019,2,22,Fri
50,48,50,2019,2,23,Sat
48,50,48,2019,2,24,Sun
49,48,50,2019,2,25,Mon
51,49,48,2019,2,26,Tue
51,51,49,2019,2,27,Wed
49,51,51,2019,2,28,Thu
49,49,51,2019,3,1,Fri
51,49,49,2019,3,2,Sat
52,51,49,2019,3,3,Sun
44,52,51,2019,3,4,Mon
46,44,52,2019,3,5,Tue
51,46,44,2019,3,6,Wed
47,51,46,2019,3,7,Thu
46,47,51,2019,3,8,Fri
49,46,47,2019,3,9,Sat
45,49,46,2019,3,10,Sun
44,45,49,2019,3,11,Mon
45,44,45,2019,3,12,Tue
48,45,44,2019,3,13,Wed
51,48,45,2019,3,14,Thu
54,51,48,2019,3,15,Fri
52,54,51,2019,3,16,Sat
44,52,54,2019,3,17,Sun
45,44,52,2019,3,18,Mon
49,45,44,2019,3,19,Tue
51,49,45,2019,3,20,Wed
53,51,49,2019,3,21,Thu
50,53,51,2019,3,22,Fri
50,50,53,2019,3,23,Sat
47,50,50,2019,3,24,Sun
48,47,50,2019,3,25,Mon
47,48,47,2019,3,26,Tue
49,47,48,2019,3,27,Wed
51,49,47,2019,3,28,Thu
52,51,49,2019,3,29,Fri
